Unnamed: 0,Name,Age,Hometown,ElimWeek,Season,Region
235,Lisa Morrisey,24.0,"Ottawa, Kansas",5.0,15,4
236,Marissa May,26.0,"Mesa, Arizona",5.0,15,4
237,Ashley Spivey,26.0,"Ellerbe, North Carolina",5.0,15,2
238,Lindsay Hill,25.0,"Plano, Texas",4.0,15,2
239,Meghan Merritt,30.0,"Princeton, New Jersey",4.0,15,3
240,Stacey Quirpel,26.0,"Quincy, Massachusetts",4.0,15,3
241,Kimberly Coon,27.0,"Orlando, Florida",3.0,15,2
242,Sarah Powell,27.0,"Denver, Colorado",3.0,15,4
243,Madison Garton,25.0,"Vail, Colorado",3.0,15,4
244,Keltie Colleen,28.0,"Sherwood Park, Alberta",2.0,15,4
245,Melissa Schreiber,32.0,"Westport, Connecticut",2.0,15,3
246,Raichel Goodyear,29.0,"Fullerton, California",2.0,15,1
247,Britnee,25.0,"Holland, Pennsylvania",1.0,15,3
248,Cristy Caserta,30.0,"Davie, Florida",1.0,15,2
249,"Jessica ""J"" Adams",26.0,"Seattle, Washington",1.0,15,1
250,Jill Ruskowski,28.0,"Frisco, Texas",1.0,15,2
251,Lacey Garbelman,27.0,"Tampa, Florida",1.0,15,2
252,Lauren Moore,26.0,"Culpeper, Virginia",1.0,15,2
253,Lisa P.,27.0,"Dix Hills, New York",1.0,15,3
254,Rebecca,30.0,"Mission Viejo, California",1.0,15,1
255,Renee Halpin,28.0,"Palos Hills, Illinois",1.0,15,4
256,Sarah Ledtke,25.0,"Saginaw, Michigan",1.0,15,4
257,Courtney Robertson,28.0,"Scottsdale, Arizona",11.0,16,4
258,Lindzi Cox,27.0,"Newcastle, Washington",10.0,16,1
259,Nicki Sterling,26.0,"Hurst, Texas",9.0,16,2
260,Kacie Boguskie,24.0,"Clarksville, Tennessee",8.0,16,2
261,Emily O'Brien,27.0,"Chapel Hill, North Carolina",7.0,16,2
262,Rachel Truehart,27.0,"Southampton, Massachusetts",7.0,16,3
263,Jamie Otis,25.0,"Dryden, New York",6.0,16,3
264,Casey Shteamer,26.0,"Leawood, Kansas",6.0,16,4
265,Blakeley Jones,33.0,"Rutherfordton, North Carolina",6.0,16,2
266,Jennifer Fritsch,28.0,"Cache, Oklahoma",5.0,16,4
267,Elyse Myers,24.0,"Chicago, Illinois",5.0,16,4
268,Monica Spannbauer,33.0,"Yuba, California",4.0,16,1
269,Samantha Levey,26.0,"Pittsburgh, Pennsylvania",4.0,16,3
270,Erika Uhlig,23.0,"Charlottesville, Virginia",3.0,16,2
271,Jaclyn Swartz,27.0,"Newton, Massachusetts",3.0,16,3
272,Brittney Schreiner,26.0,"Colorado Springs, Colorado",3.0,16,4
273,Jenna Burke,27.0,"Loveland, Ohio",2.0,16,4
274,Shawn Reynolds,28.0,"Cincinnati, Ohio",2.0,16,4
275,Amber Bacon,23.0,"Port Coquitlam, British Columbia",1.0,16,4
276,Amber Tierney,28.0,"Waverly, Nebraska",1.0,16,4
277,Anna Snowball,25.0,"Detroit, Michigan",1.0,16,4
278,Dianna Martinez,30.0,"San Gabriel, California",1.0,16,1
279,Holly Johnson,34.0,"Salyersville, Kentucky",1.0,16,2
280,Lyndsie James,29.0,"London, England",1.0,16,4
281,Shira Astrof,35.0,"Massapequa Park, New York",1.0,16,3
282,Catherine Giudici,26.0,"Seattle, Washington",11.0,17,1
283,Lindsay Yenter,24.0,"Fort Bragg, North Carolina",10.0,17,2
284,AshLee Frazier,32.0,"Houston, Texas",9.0,17,2
285,Desiree Hartsock,26.0,"Northglenn, Colorado",8.0,17,4
286,Lesley Murphy,24.0,"Fort Smith, Arkansas",7.0,17,2
287,Tierra LiCausi,24.0,"Las Vegas, Nevada",7.0,17,4
288,Daniella McBride,24.0,"Belmont, California",6.0,17,1
289,Selma Alameri,29.0,"Borrego Springs, California",6.0,17,1
290,Sarah Herron,26.0,"Evergreen, Colorado",6.0,17,4
291,Robyn Howard,24.0,"Topeka, Kansas",5.0,17,4
292,Jackie Parr,25.0,"Ormond Beach, Florida",5.0,17,2
293,Amanda Meyer,26.0,"Bakersfield, California",4.0,17,1
294,Leslie Hughes,28.0,"Ruskin, Florida",4.0,17,2
295,Kristy Kaminski,25.0,"Darien, Wisconsin",3.0,17,4
296,Taryn Renee Daniels,30.0,"Troutdale, Oregon",3.0,17,1
297,Kacie Boguskie,25.0,"Clarksville, Tennessee",3.0,17,2
298,Brooke Burchette,25.0,"Pittsburgh, Pennsylvania",2.0,17,3
299,Diana Weeks Willardson,31.0,"Sandy, Utah",2.0,17,4
300,Katie Levans,27.0,"Woodstock, Illinois",2.0,17,4
301,Ashley Harper,25.0,"Garner, North Carolina",1.0,17,2
302,Ashley Palenkas,28.0,"Macomb, Michigan",1.0,17,4
303,Kelly Dutton,28.0,"Chattanooga, Tennessee",1.0,17,2
304,Keriann Miranda,29.0,"Agoura Hills, California",1.0,17,1
305,Lacey Latka,24.0,"Stevenson Ranch, California",1.0,17,1
306,Lauren Marchetti,27.0,"Cranston, Rhode Island",1.0,17,3
307,Paige Vigil,25.0,"Minnetonka, Minnesota",1.0,17,4
308,Nikki Ferrell,26.0,"Kearney, Missouri",11.0,18,4
309,Clare Crawley,32.0,"Sacramento, California",10.0,18,1
310,Andi Dorfman,26.0,"Buckhead, Georgia",9.0,18,2
311,Renee Oteri,32.0,"Martha's Vineyard, Massachusetts",8.0,18,3
312,Chelsie Webster,24.0,"Lexington, Ohio",7.0,18,4
313,Sharleen Joynt,29.0,"Ottawa, Ontario",7.0,18,4
